Timestamp,User Number,Test Number,How urgent was the feedback?,Was the feedback clearly felt?,Was the feedback distracting?,Was the feedback alarming?,Was the feedback uncomfortable or painful?,General remarks & comments?
2017/08/01 2:02:44 PM GMT+2,1,1,3,5,4,3,1,
2017/08/01 2:04:23 PM GMT+2,1,2,3,5,5,2,1,
2017/08/01 2:05:27 PM GMT+2,1,3,4,5,5,2,1,
2017/08/01 2:06:46 PM GMT+2,1,4,4,5,5,3,1,
2017/08/01 2:08:23 PM GMT+2,1,5,3,5,5,2,1,
2017/08/01 2:09:42 PM GMT+2,1,6,3,4,4,2,1,
2017/08/01 2:10:43 PM GMT+2,1,7,1,2,3,1,1,
2017/08/01 2:12:03 PM GMT+2,1,8,4,5,5,3,1,
2017/08/01 2:13:23 PM GMT+2,1,9,3,5,5,3,1,
2017/08/01 2:14:54 PM GMT+2,1,A,3,5,5,3,1,
2017/08/01 2:16:04 PM GMT+2,1,B,4,5,5,3,1,
2017/08/01 2:17:09 PM GMT+2,1,C,4,5,5,2,1,
2017/08/01 2:18:19 PM GMT+2,1,D,4,5,5,3,1,
2017/08/01 2:19:39 PM GMT+2,1,E,5,5,5,5,2,
2017/08/01 2:20:52 PM GMT+2,1,F,3,5,5,3,1,
2017/08/01 2:21:57 PM GMT+2,1,G,5,5,5,5,2,
2017/08/01 2:24:01 PM GMT+2,1,H,3,5,5,2,1,
2017/08/01 2:26:36 PM GMT+2,1,I,3,5,5,3,1,
2017/08/01 2:27:40 PM GMT+2,1,J,2,3,3,1,1,
2017/08/01 2:28:54 PM GMT+2,1,K,4,5,5,2,1,
2017/08/01 2:29:59 PM GMT+2,1,L,2,4,4,1,1,
2017/08/01 2:31:14 PM GMT+2,1,M,3,5,5,2,1,
2017/08/01 2:32:30 PM GMT+2,1,N,2,5,5,2,1,
2017/08/01 2:34:09 PM GMT+2,1,O,3,4,4,2,1,
2017/08/01 2:35:27 PM GMT+2,1,P,2,3,3,1,1,
2017/08/01 3:19:54 PM GMT+2,2,1,3,4,4,3,1,
2017/08/01 3:21:54 PM GMT+2,2,2,4,4,4,4,1,
2017/08/01 3:22:56 PM GMT+2,2,3,5,5,5,5,1,
2017/08/01 3:24:13 PM GMT+2,2,4,5,5,5,5,1,
2017/08/01 3:25:29 PM GMT+2,2,5,3,4,3,3,1,
2017/08/01 3:26:30 PM GMT+2,2,6,2,3,3,3,1,
2017/08/01 3:28:44 PM GMT+2,2,7,1,1,1,1,1,
2017/08/01 3:29:43 PM GMT+2,2,8,4,4,4,4,1,
2017/08/01 3:31:21 PM GMT+2,2,9,4,4,4,4,1,
2017/08/01 3:32:43 PM GMT+2,2,A,3,4,5,4,1,
2017/08/01 3:33:29 PM GMT+2,2,B,4,4,4,5,1,
2017/08/01 3:34:50 PM GMT+2,2,C,5,5,5,5,1,
2017/08/01 3:36:32 PM GMT+2,2,D,5,5,5,5,1,
2017/08/01 3:37:11 PM GMT+2,2,E,5,5,5,5,1,
2017/08/01 3:38:22 PM GMT+2,2,F,2,4,2,2,1,
2017/08/01 3:39:09 PM GMT+2,2,G,5,5,5,5,1,
2017/08/01 3:40:08 PM GMT+2,2,H,3,4,3,3,1,
2017/08/01 3:41:06 PM GMT+2,2,I,4,4,4,3,1,
2017/08/01 3:42:03 PM GMT+2,2,J,3,4,4,3,1,
2017/08/01 3:42:54 PM GMT+2,2,K,4,4,4,4,1,
2017/08/01 3:43:52 PM GMT+2,2,L,5,4,4,4,1,
2017/08/01 3:44:49 PM GMT+2,2,M,4,4,4,4,1,
2017/08/01 3:46:01 PM GMT+2,2,N,4,3,4,3,1,
2017/08/01 3:47:19 PM GMT+2,2,O,5,4,4,4,1,
2017/08/01 3:48:38 PM GMT+2,2,P,4,4,4,4,1,
2017/08/01 4:13:06 PM GMT+2,3,1,2,5,3,3,3,A bit loud. I heard it more than i felt it
2017/08/01 4:14:44 PM GMT+2,3,2,4,5,4,4,3,Too much
2017/08/01 4:15:48 PM GMT+2,3,3,3,5,2,3,4,
2017/08/01 4:16:51 PM GMT+2,3,4,3,5,5,3,4,
2017/08/01 4:18:05 PM GMT+2,3,5,3,4,2,2,4,
2017/08/01 4:19:13 PM GMT+2,3,6,4,5,3,4,2,
2017/08/01 4:20:26 PM GMT+2,3,7,3,4,2,2,1,
2017/08/01 4:21:23 PM GMT+2,3,8,3,5,5,2,4,
2017/08/01 4:22:32 PM GMT+2,3,9,2,5,2,2,4,
2017/08/01 4:23:25 PM GMT+2,3,A,2,5,4,2,4,
2017/08/01 4:24:14 PM GMT+2,3,B,3,5,3,3,4,
2017/08/01 4:25:09 PM GMT+2,3,C,4,5,4,4,2,
2017/08/01 4:26:01 PM GMT+2,3,D,5,5,4,5,2,
2017/08/01 4:26:52 PM GMT+2,3,E,3,5,3,3,3,
2017/08/01 4:28:08 PM GMT+2,3,F,2,5,2,3,1,
2017/08/01 4:29:06 PM GMT+2,3,G,3,5,4,3,4,
2017/08/01 4:30:08 PM GMT+2,3,H,3,5,3,2,4,
2017/08/01 4:31:35 PM GMT+2,3,I,4,5,2,3,1,
2017/08/01 4:32:35 PM GMT+2,3,J,4,5,2,3,1,
2017/08/01 4:34:23 PM GMT+2,3,K,4,5,4,2,3,
2017/08/01 4:35:25 PM GMT+2,3,L,5,5,3,4,2,
2017/08/01 4:36:30 PM GMT+2,3,M,3,5,2,3,2,
2017/08/01 4:37:34 PM GMT+2,3,N,1,5,2,2,1,
2017/08/01 4:38:40 PM GMT+2,3,O,3,5,2,4,1,
2017/08/01 4:41:26 PM GMT+2,3,P,2,5,3,2,1,I think the number of Repetitions does Not  make a difference with regards to the urgency
2017/08/02 10:24:24 AM GMT+2,4,1,3,4,2,4,1,
2017/08/02 10:25:30 AM GMT+2,4,2,4,5,4,4,1,
2017/08/02 10:26:48 AM GMT+2,4,3,3,5,3,4,1,
2017/08/02 10:27:45 AM GMT+2,4,4,5,5,5,4,1,
2017/08/02 10:28:26 AM GMT+2,4,5,4,5,3,3,1,
2017/08/02 10:29:26 AM GMT+2,4,6,3,5,3,2,3,
2017/08/02 10:30:41 AM GMT+2,4,7,3,4,3,2,2,
2017/08/02 10:31:35 AM GMT+2,4,8,5,5,4,4,1,
2017/08/02 10:32:43 AM GMT+2,4,9,5,5,4,5,1,
2017/08/02 10:33:37 AM GMT+2,4,A,5,5,4,5,1,
2017/08/02 10:34:17 AM GMT+2,4,B,5,5,4,4,3,
2017/08/02 10:35:16 AM GMT+2,4,C,5,5,4,4,4,
2017/08/02 10:35:54 AM GMT+2,4,D,5,5,4,5,4,
2017/08/02 10:36:44 AM GMT+2,4,E,4,4,4,3,2,
2017/08/02 10:37:58 AM GMT+2,4,F,2,3,2,3,1,
2017/08/02 10:38:49 AM GMT+2,4,G,4,3,4,5,1,
2017/08/02 10:39:30 AM GMT+2,4,H,4,5,3,4,1,
2017/08/02 10:40:38 AM GMT+2,4,I,5,5,4,4,4,
2017/08/02 10:41:38 AM GMT+2,4,J,2,4,3,2,2,
2017/08/02 10:42:35 AM GMT+2,4,K,5,5,5,4,4,
2017/08/02 10:44:09 AM GMT+2,4,L,4,5,3,4,3,
2017/08/02 10:44:53 AM GMT+2,4,M,3,4,3,4,1,
2017/08/02 10:45:40 AM GMT+2,4,N,3,3,3,3,1,
2017/08/02 10:46:49 AM GMT+2,4,O,4,4,4,4,3,
2017/08/02 10:47:39 AM GMT+2,4,P,3,4,2,2,2,
2017/08/02 11:05:09 AM GMT+2,5,1,2,5,1,4,1,
2017/08/02 11:06:33 AM GMT+2,5,2,4,5,2,4,1,
2017/08/02 11:07:34 AM GMT+2,5,3,4,5,3,4,1,
2017/08/02 11:08:41 AM GMT+2,5,4,4,5,5,5,3,
2017/08/02 11:09:57 AM GMT+2,5,5,5,5,3,4,2,
